Phrase ID,Module ID,Layer,Phase,Therapeutic Intent,Clinical Objective,Exact Phrase,Population Flag,Language Complexity,Estimated Reading Level,Emotional Tone,Therapeutic Function,Evidence Level,Primary Source,Source Type,Safety Rating,Contraindications,Known Failure Modes,Recommended Follow-up,Transition Module,Reviewer Notes,Version
P-101001,L1.01,1,Opening,Establish safety baseline and active listening,Screen for immediate safety threats without judgment,"I'm here to listen and help keep you safe. Are you having thoughts right now that you might hurt yourself or someone else?",Adult; Youth; Military; Complex PTSD,High School,9.2,Calm; Directive,Question; Safety,Strong,WHO PFA; VA/DoD Guidelines,Direct Guideline Language,SAFE,None,User may minimize or deny ideation due to shame or fear of consequences; may require follow-up validation,If user discloses ideation: transition to L1.03 (Suicide Risk Screening),L1.03,Foundational screening question; non-coercive open phrasing,1.0.0
P-101002,L1.01,1,Opening,Normalize distress and reduce defensive responding,Lower barriers to disclosure of acute distress,"Right now, many people in your situation have really difficult feelings or thoughts. That's completely normal. I'm wondering what you're experiencing right now?",Adult; Youth; Humanitarian,Middle School,7.8,Warm; Empathic,Validation; Question,Moderate,WHO PFA; SAMHSA,Adapted Clinical Language,SAFE,Active suicidal ideation (use L1.03 instead),User may continue defensive responding if safety not established; normalization can feel dismissive if poorly timed,Clarify specific distress content; validate emotional state,L1.02,Normalizing language reduces shame-based avoidance,1.0.0
P-101003,L1.01,1,Opening,Assess behavioral indicators of acute decompensation,Identify signs of imminent safety loss without leading,"I notice you seem really overwhelmed right now. Can you tell me what your body is experiencing—like if you're tense, shaking, or having trouble breathing?",Adult; Youth; Complex PTSD,High School,8.5,Neutral; Directive,Question; Grounding,Strong,VA/DoD PTSD Guidelines; WHO PFA,Direct Guideline Language,SAFE,Severe dissociation or unresponsiveness (escalate to L1.06),User may dissociate further when asked to focus inward; somatic language can trigger trauma memory,If user is dissociated: transition to L1.06 (Dissociation Detection),L1.06,Body-focused assessment; connects to physiological regulation pathway,1.0.0
P-101004,L1.01,1,Opening,Screen for command hallucinations and command-driven risk,Establish awareness of internal experiences and external command presence,"Sometimes when people are in crisis, they hear voices or have very strong urges telling them to do things. Are you experiencing anything like that right now?",Adult; Military; Complex PTSD,High School,9.1,Calm; Neutral,Question; Safety,Strong,VA/DoD Guidelines; EMDRIA,Direct Guideline Language,SAFE,Active psychosis without insight (may require immediate escalation); confusion or delirium,User may hide command content due to fear of hospitalization; inquiry itself may not reduce compliance,If confirmed: escalate to L1.09 (Human Escalation),L1.09,Specific screening for command-driven behavior; critical for safety gating,1.0.0
P-101005,L1.01,1,Opening,Assess access to lethal means without direct accusation,Identify imminent risk factors through behavioral history,"I want to check in about something important: do you have access to anything right now—like medications, weapons, or other items—that you might use to hurt yourself?",Adult; Military,High School,8.9,Calm; Directive,Question; Safety,Strong,VA/DoD Guidelines; WHO PFA,Direct Guideline Language,SAFE,Acute intoxication (may impair judgment; escalate to L1.09),Direct lethal means assessment can feel accusatory; user may minimize access intentionally,If high-risk means accessible: escalate to L1.09 (Human Escalation),L1.09,Direct means assessment; foundational risk stratification,1.0.0
P-101006,L1.01,1,Opening,Establish rapport through trauma-informed listening stance,Reduce threat perception and build collaborative alliance,"I hear that things are really hard right now. I'm not here to judge you—I'm here to understand what's happening and help you stay safe.",Adult; Youth; Humanitarian; Complex PTSD,Middle School,7.2,Warm; Empathic,Validation; Consent,Moderate,WHO PFA; EMDRIA,Synthesized Best Practice,SAFE,None,Over-reassurance may feel dismissive if not paired with concrete safety planning; alliance-building may take multiple iterations,Follow with specific assessment questions,L1.01,Rapport-building foundation; sets non-judgmental frame,1.0.0
P-101007,L1.01,1,Opening,Screen for dissociation and reality testing deficits,Identify unresponsiveness or disconnection from present moment,"I'm noticing it's hard to reach you right now. Can you tell me your name and today's date, so I know if you're with me?",Adult; Youth; Complex PTSD,Middle School,7.1,Calm; Directive,Question; Grounding,Strong,VA/DoD PTSD Guidelines,Direct Guideline Language,SAFE,Severe dissociation (may increase anxiety if grounding fails; escalate to L1.06),Reality testing can increase anxiety if user is in acute psychosis; orientation questions may reveal deeper disconnection,If failed orientation: escalate to L1.06 (Dissociation Detection),L1.06,Brief reality testing to gate crisis severity,1.0.0
P-101008,L1.01,1,Opening,Assess self-injury urges separate from suicidal intent,Clarify distinction between NSSI and suicide risk,"I also want to ask: are you having urges to hurt yourself in ways that aren't about ending your life—like cutting, scratching, or hitting yourself?",Adult; Youth; Complex PTSD,High School,8.7,Calm; Neutral,Question; Safety,Strong,VA/DoD Guidelines; SAMHSA,Direct Guideline Language,SAFE,Active suicidal ideation with intent (prioritize L1.03; NSSI screening is secondary),User may not distinguish NSSI from suicidal intent; question may normalize self-harm if not followed by safety planning,If NSSI disclosed: transition to L1.04 (Self-Harm Assessment),L1.04,NSSI-specific screening; differentiates from suicidal behavior,1.0.0
P-101009,L1.01,1,Opening,Assess substance intoxication or acute withdrawal,Identify neurological impairment that may affect judgment,"Have you used any alcohol or other substances recently—in the last few hours? This helps me understand if anything is affecting how you're feeling right now.",Adult; Military,High School,8.3,Neutral; Non-judgmental,Question; Safety,Moderate,SAMHSA; WHO PFA,Adapted Clinical Language,SAFE,Severe intoxication or acute delirium (escalate to L1.09),User may minimize or deny substance use; intoxication itself may prevent accurate reporting,If significant intoxication: escalate to L1.09 (Human Escalation),L1.09,Substance assessment gates crisis severity and treatment planning,1.0.0
P-101010,L1.01,1,Opening,Establish collaborative safety contracting,Build explicit commitment to safety and help-seeking,"Here's what I want to make clear: your safety is the top priority. If things get worse and you feel like you can't keep yourself safe, I need you to reach out—either to me, someone you trust, or emergency services. Can you do that?",Adult; Youth; Complex PTSD,High School,8.8,Warm; Directive,Consent; Safety,Strong,VA/DoD Guidelines; WHO PFA,Synthesized Best Practice,SAFE,User unwilling to contract (reassess safety and consider escalation),Safety contracts alone do not prevent suicide; must be paired with concrete crisis plan; may feel coercive if not collaborative,If user refuses contract: escalate to L1.09 (Human Escalation),L1.09,Explicit safety commitment; escalation threshold,1.0.0
